IncidentNum,IncidentName,LATITUDE_C,LONGITUDE_C,Year
204116,Kalskag,61.5,-160.383333,2002
204167,Vinasale,62.7,-155.65,2002
211182,West Fork Chena,65.066667,-146.166667,2002
A-265,MINCHUMINA GROUP,64.133333,-152.55,2002
A-283,GESKAKMINA LAKE,64.633333,-150.433333,2002
A-424,Reindeer,62.4,-158.883333,2002
A-503,KOCACHO #2,67.366667,-146.166667,2002
A175,MP 78 Elliott Hiway,65.433333,-148.833333,2002
A405,NORTH FORK,63.183333,-154.283333,2002
A524,KETCHEM CREEK,65.533333,-144.6,2002
AK-GAD-A478,GOBLET CREEK,62.9,-160.433333,2002
MA-MAS-101,DEVENS,42.496944,-71.640278,2002
MD-MDS-5000,ORIOLE,38.175833,-75.821944,2002
MDS-02-4198,Somerset Complex,38.157222,-75.698889,2002
MN-CPF-163,Pike Bay Loop Fire,47.330833,-94.554444,2002
MN-MNS-123-01,Grygla CRP,48.267222,-95.484722,2002
MN-MNS-123-02,West Pool 2,48.983889,-96.251944,2002
MN-MNS-123-022,Honey Joe Fire,48.847222,-96.291667,2002
MN-MNS-123-024,Northwind Eight,48.429444,-95.581944,2002
MN-MNS-123-034,Norway Fire,48.695556,-96.528889,2002
MN-MNS-123-053,McKinley Fire,48.911944,-96.569167,2002
MN-MNS-123-054,Cannon Fire,48.825278,-96.613056,2002
MN-MNS-123-06,Deerwood Fire,48.55,-96.583333,2002
MN-MNS-123-060,Cannon Again Fire,48.839444,-96.569167,2002
MN-MNS-123-061,West Valley,48.435,-96.486667,2002
MN-MNS-123-097,Camelback Bridge,48.914722,-96.206944,2002
MN-MNS-123-13,Mikes Lake,48.806944,-96.319167,2002
MN-MNS-123-89,Northwood Fire,48.391667,-95.568611,2002
MN-MNS-311-004,By Pass Fire,46.305,-94.253056,2002
MN-RLA-107,Red Lake 107,48.032778,-95.570556,2002
MN-RLA-150,Red Lake 150,48.000556,-95.536389,2002
MN-RLA-169,Red Lake 169,48.070278,-95.570278,2002
MN-RLA-468,Red Lake 468,47.871389,-95.419722,2002
MN-RLA-603,Red Lake 603,48.124722,-95.450556,2002
MN-RLA-620,Red Lake 620,48.121667,-95.324444,2002
