incident_unique_id,eyear,state,incidentnum,incidentname,emonth,eday,edoy,syear,smonth,sday,sdoy,area_km2,costs,fatalities,home.destroyed,home.threat,home.damage,comm.destroyed,comm.threat,comm.damage,max.pers,max.aerial,tot.pers,tot.aerial,max.agency.support,cause,confidence,geometry
"04-ALS-001|2004|1",2004,AL,04-ALS-001,1st quarter,3,15,75,2004,1,1,1,0.00404686,0,0,6,665,17,0,0,0,0,0,0,0,0,Unk,L,10407017.3121425|1788439.90598378
"04-ALS-017|2004|1",2004,AL,04-ALS-017,Fort Morgan,3,29,89,2004,3,26,86,1.011715,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,H,785304.888640131|-775057.621847416
"1224|2006|1",2006,CA,1224,Multiple June Fires,6,30,181,2006,6,26,177,0.08498406,4e+05,0,0,2,0,0,0,0,247,0,1248,0,4,Lightning,NF,10407017.3121425|1788439.90598378
"2002-10|2002|1",2002,AL,2002-10,Oct1YTD,10,1,274,2002,8,1,213,0,0,1,4,52,0,0,0,0,0,0,0,0,0,Human,NF,10407017.3121425|1788439.90598378
"2003-01|2003|1",2003,AL,2003-01,Jan/Feb,3,4,63,2003,1,1,1,0,0,0,10,173,0,0,0,0,0,0,0,0,0,Lightning,NF,10407017.3121425|1788439.90598378
"2003-02|2003|1",2003,AL,2003-02,Mar/Apr,5,6,126,2003,3,1,60,0,0,0,1,167,0,0,0,0,0,0,0,0,0,Human,NF,10407017.3121425|1788439.90598378
"AK-ARR-000462|2013|1",2013,,AK-ARR-000462,Shoulder Mountain,7,24,205,2013,6,28,179,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-2462462.91360056|3816528.36533836
"AK-CRS-314444|2013|1",2013,,AK-CRS-314444,Excelsior,10,26,294,2013,6,27,178,24.83557982,70000,0,0,0,0,0,0,0,0,0,0,0,1,Lightning,H,-2775073.63079078|3447804.87404281
"AK-CRS-314625|2013|1",2013,,AK-CRS-314625,Tabert Lake,10,21,294,2013,7,31,212,6.02577454,596072,0,0,0,0,0,0,0,5,0,10,0,1,Lightning,H,-2878582.12197756|3462776.13883009
"AK-CRS-713314415|2013|1",2013,,AK-CRS-713314415,Chistochina Trail,7,30,184,2013,6,26,177,0.12545266,452281,0,0,0,0,0,0,0,28,0,106,0,1,Lightning,H,-2446699.42460137|3983111.78422078
"AK-FAS-311088|2013|1",2013,,AK-FAS-311088,Louise Creek,8,29,241,2013,5,27,147,0.96719954,41876,0,0,0,0,0,0,0,0,0,0,0,0,Human,H,-2899709.15851275|3658212.38240338
"AK-FAS-311247|2013|1",2013,,AK-FAS-311247,Tatlanika Creek,8,29,241,2013,6,16,167,0.809372,20000,0,0,0,0,0,0,0,0,0,0,0,0,Human,H,-2886835.35301936|3660859.12609483
"AK-FAS-311248|2013|1",2013,,AK-FAS-311248,Old Valdez Trail,6,23,174,2013,6,16,167,0.0809372,626866,0,0,0,0,0,0,0,72,0,453,0,4,Human,H,-2781961.95580086|3639875.43414342
"AK-FAS-311255|2013|1",2013,,AK-FAS-311255,California Creek,9,29,249,2013,6,17,168,3.1565508,33141,0,0,0,0,0,0,0,0,0,0,0,0,Human,H,-2884635.82754254|3660454.35141318
"AK-FAS-311258|2013|1",2013,,AK-FAS-311258,Kanuti,7,30,199,2013,6,17,168,0.4856232,1522022,0,0,0,0,0,0,0,140,0,1165,0,4,Human,H,-2766925.06456594|3682001.64088329
"AK-FAS-311323|2013|1",2013,,AK-FAS-311323,Clear AFB,7,30,192,2013,6,20,171,0.3237488,1671448,0,0,0,0,0,0,0,148,0,933,0,5,Lightning,H,-2897398.41536987|3700070.34002039
"AK-FAS-311388|2013|1",2013,,AK-FAS-311388,Skinny's Road,10,30,274,2013,6,25,176,7.30862916,5e+06,0,0,26,0,0,1,0,477,0,5206,0,5,Human,H,-2850936.50655045|3717988.25285864
"AK-FAS-311649|2013|1",2013,,AK-FAS-311649,Long Creek,8,9,221,2013,8,3,215,0.33993624,681027,0,0,2,0,0,0,0,83,0,475,0,1,Human,H,-2746296.24703767|3708046.39147863
"AK-FAS-311679|2013|1",2013,,AK-FAS-311679,Caribou Creek,10,29,274,2013,8,11,223,53.216209,1242928,0,0,0,0,0,0,0,56,0,226,0,2,Human,H,-2710860.37239799|3629389.23352991
"AK-GAD-000292|2013|1",2013,,AK-GAD-000292,Shaktoolik RIver,8,27,213,2013,6,20,171,47.34623857,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3426835.76744909|4054738.08731164
"AK-GAD-000294|2013|1",2013,,AK-GAD-000294,Stove Creek,6,24,175,2013,6,20,171,0.29542078,0,0,0,0,0,0,0,0,72,0,306,0,3,Lightning,H,-3428342.24564836|4032944.89898067
"AK-GAD-000303|2013|1",2013,,AK-GAD-000303,Bear Creek,7,25,206,2013,6,20,171,83.704038182,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3419809.54912073|3997755.58670388
"AK-GAD-000305|2013|1",2013,,AK-GAD-000305,Old Women River,7,24,192,2013,6,20,171,7.53525332,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3425121.19262038|4009102.31932602
"AK-GAD-000306|2013|1",2013,,AK-GAD-000306,Ridge Top,6,24,175,2013,6,20,171,11.515744816,0,0,0,0,0,0,0,0,0,0,0,0,0,Lightning,H,-3421794.70097054|4002827.53679662
